provider_id,name,type,base_url,enabled
ansa_economia,ANSA Economia,rss,https://www.ansa.it/sito/notizie/economia/economia_rss.xml,true
adnkronos_economia,Adnkronos Economia,rss,http://rss.adnkronos.com/RSS_Economia.xml,true
teleborsa_news,Teleborsa News,rss,https://www.teleborsa.it/feed/rss,true
mimit_notizie,MIMIT Notizie,rss,https://www.mimit.gov.it/index.php/it/notizie-stampa?format=feed&type=rss,true
eu_dgcomp_mergers,EU DG COMP Mergers (Press Corner),rss,https://ec.europa.eu/commission/presscorner/api/rss?latestnews&language=en&pagesize=10,true
prnewswire_all,PR Newswire All Releases,rss,https://www.prnewswire.com/rss/news-releases-list.rss,true
businesswire_all,Business Wire (General),rss,https://feed.businesswire.com/rss/home/?rss=G1QFDERJXkJeGVtRVQ==,true
rss_snapshot,Local RSS Snapshot,rss_file,file://data/rss_snapshots/sample.xml,false
gdelt_snapshot,GDELT Snapshot (file),gdelt_snapshot,file://data/backtest_snapshots/sample_gdelt.json,false
gn_company_it,Google News Company-Scoped (IT),gn_company,https://news.google.com/rss/search,true
gn_it_piano_strategico,GN_IT_PianoStrategico_Scadenza,rss,https://news.google.com/rss/search?q=%22piano%20strategico%22%20OR%20%22piano%20industriale%22%20OR%20%22strategic%20plan%22%20OR%20%22piano%20pluriennale%22%20OR%20%22strategia%20aziendale%22%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_board_azionisti,GN_IT_Board_Azionisti,rss,https://news.google.com/rss/search?q=%22consiglio%20di%20amministrazione%22%20OR%20board%20OR%20azionisti%20OR%20%22assemblea%20soci%22%20OR%20%22family%20business%22%20OR%20%22passaggio%20proprieta%22%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_ipo_pe_vendita,GN_IT_IPO_PE_Vendita,rss,https://news.google.com/rss/search?q=IPO%20OR%20%22quotazione%22%20OR%20%22delisting%22%20OR%20%22OPA%22%20OR%20%22private%20equity%22%20OR%20%22ingresso%20del%20fondo%22%20OR%20%22processo%20di%20vendita%22%20OR%20%22sale%20process%22%20OR%20%22strategic%20review%22%20OR%20advisor%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_execution_gap,GN_IT_ExecutionGap,rss,https://news.google.com/rss/search?q=execution%20OR%20%22piano%20di%20esecuzione%22%20OR%20%22operating%20plan%22%20OR%20%22operating%20model%22%20OR%20governance%20OR%20PMO%20OR%20accountability%20OR%20%22performance%20review%22%20OR%20monitoraggio%20OR%20OKR%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_org_non_allineata,GN_IT_OrganizzazioneNonAllineata,rss,https://news.google.com/rss/search?q=%22organizzazione%20non%20allineata%22%20OR%20%22priorita%20poco%20chiare%22%20OR%20%22riorganizzazione%20operativa%22%20OR%20%22trasformazione%20organizzativa%22%20OR%20%22operating%20model%22%20OR%20%22allineamento%20organizzativo%22%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_ai_regolazione,GN_IT_AI_Regolazione,rss,https://news.google.com/rss/search?q=AI%20OR%20%22intelligenza%20artificiale%22%20OR%20%22AI%20Act%22%20OR%20cyber%20OR%20%22nuova%20regolazione%22%20OR%20%22nuove%20norme%22%20OR%20compliance%20OR%20%22ESG%20regulation%22%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_aggiornamento_strategia,GN_IT_AggiornamentoStrategia,rss,https://news.google.com/rss/search?q=%22cambiamento%20di%20mercato%22%20OR%20%22aggiornamento%20strategia%22%20OR%20%22strategia%20da%20aggiornare%22%20OR%20%22revisione%20strategica%22%20OR%20%22market%20shift%22%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_passaggio_generazionale,GN_IT_PassaggioGenerazionale,rss,https://news.google.com/rss/search?q=%22passaggio%20generazionale%22%20OR%20successione%20OR%20%22cambio%20generazionale%22%20OR%20%22nuova%20proprieta%22%20OR%20%22family%20succession%22%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_nuovo_ceo,GN_IT_NuovoCEO_Leadership,rss,https://news.google.com/rss/search?q=%22nuovo%20CEO%22%20OR%20%22amministratore%20delegato%22%20OR%20nomina%20OR%20%22cambio%20leadership%22%20OR%20%22nuova%20leadership%22%20OR%20%22leadership%20team%22%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_ma_carveout,GN_IT_MA_CarveOut,rss,https://news.google.com/rss/search?q=acquisizione%20OR%20fusione%20OR%20%22M%26A%22%20OR%20%22carve-out%22%20OR%20%22spin-off%22%20OR%20scorporo%20OR%20%22joint%20venture%22%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
gn_it_cambio_perimetro,GN_IT_CambioProprieta_Perimetro,rss,https://news.google.com/rss/search?q=%22cambio%20proprieta%22%20OR%20%22ingresso%20fondo%22%20OR%20%22nuovo%20perimetro%22%20OR%20%22riorganizzazione%20multi-BU%22%20OR%20%22ridefinizione%20perimetro%22%20OR%20disinvestimento%20OR%20%22cessione%20di%20ramo%22%20-banca%20-banche%20-bank%20-banks&hl=it&gl=IT&ceid=IT:it,false
company_press_1,Company Press RSS (TBD),rss,TBD_COMPANY_RSS_URL,false
